,text
9780,"Phase 2 may begin on Monday, May 18 for Cass County. Local governments may impose more restrictive guidelines."
9781,"Indiana #BackOnTrack has five stages. Beginning Monday, May 4, nearly all of Indiana will move to stage 2. For three counties – Cass, Lake and Marion counties – stage 2 will begin at a later date. Phase 2 may begin on Monday, May 11 for Lake and Marion counties."
9782,"If we cannot meet these principles, all or portions of the state may need to pause on moving forward or we may return to an earlier phase of the governor’s stay-at-home order."
9783,"As we lift restrictions and more people return to work, visit a store or restaurant, and participate in more activities, the number of #COVID19 cases will increase."
9784," The state retains its ability to test all Hoosiers who are #COVID19 symptomatic as well as health care workers, first responders, & frontline employees
 Health officials have systems in place to contact all individuals who test positive for #COVID19 & expand contact tracing"
9785,"The state will move to reopen while continuing to monitor and respond to these four guiding principles:
 The number of hospitalized #COVID19 patients statewide has decreased for 14 days
 The state retains its surge capacity for critical care beds and ventilators"
9786,Gov. Holcomb has used data to drive decisions since the state’s first case of the novel coronavirus in early March and he will continue to do so as the state contemplates a sector-by-sector reset.
9787,"Across Indiana, we've witnessed a spirit of cooperation & caring for others that has touched my heart. May this spirit of appreciation for one another carry on long after #COVID19 is behind us. Hoosiers have done this together & together we'll come out a stronger Indiana."
9788,Today I announced the #BackOnTrack Indiana plan to safely open the economy and remain vigilant about protecting Hoosiers’ health and wellbeing.
9789,"Thanks to the discipline and actions of 6.7 million Hoosiers, we are ready to move ahead in a measured way. 

This is our 5-Stage plan to get Indiana #BackOnTrack. It’s a
methodical, step-by-step plan for steady progress which we’ll carefully monitor.

http://BackOnTrack.in.gov"
9790," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9791," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9792,"I'm thankful for our 
@INGuardsman
 during this #COVID19 pandemic."
9793,"Happy Halloween, Washington."
9794,"This Halloween, the scariest mask is no mask at all. 

It doesn’t matter if you are in public or at home - mask up anytime you’re around other people. 

#MaskUpWA"
9795,"1 in every 176 Americans has tested positive for COVID-19. 

In the last month."
9796,"As lucky as we are to have these two incredible athletes and advocates in Washington, it seems they may be even luckier.

Congratulations."
9797,"COVID-19 has dramatically changed daily life in our state, but it hasn’t changed our obligation to our students.

These devices are vital to student participation and success in distance learning.

My full statement "
9798,"Additionally, 
@WAStateCommerce
 has set up over 600 WIFI hotspots across Washington, and I’m working on other options to hasten our path to universal broadband connection."
9799,"We know, however, that this isn’t the only barrier students and staff are facing.

That’s why 
@waOSPI
 has allocated $8.8 million in CARES Act funds to purchase internet plans for 60,000 families who cannot afford them."
9800,".
@waOSPI
 estimates that 64,000 students and school staff statewide do not currently have their own computing device or tablet.

Without these devices it’s difficult or impossible to participate in distance learning."
9801,"The COVID-19 pandemic has thrown challenges at every Washingtonian - having the proper equipment to navigate a new educational reality shouldn't be one of them.
 
Today I’m announcing our plan to provide computing devices for 64,000 Washington students."
9802,"Almost 3 million Washingtonians have already cast their ballots.

That's over 60% of registered voters.

Keep it up."
9803,"Pres. Trump is, again, stripping away protections from our most pristine places.

Places like Tongass National Forest are invaluable to salmon, the outdoor rec. industry, tribal communities and our climate.
@AGOWA
 and my letter: http://bit.ly/TongassWA"
9804,"Election Day is only 5 days away.

Want to find ballot drop box locations near you? 

Visit http://VoteWA.gov"
9805,"Congratulations to 
@uwlabmedpath
 and 
@UWVirology
 on running their one millionth COVID test – which they discovered to be more tests than the federal government reporting website can handle.
 
Thanks for all you’re doing to keep Washingtonians safe."
9806,"First responders are always there for Washington. We know we’ve called on them more than ever this year.

As always, they have stepped up to the challenge. And I am deeply grateful for their dedicated service to our state.

Happy #FirstRespondersDay"
9807,"I’m about to join 
@ErinBurnett
 on 
@CNN
.

Tune in."
9808,"Voting is an essential activity in WA.

We are dedicated to ensuring everyone can vote safely, and to protecting the election workers that make this democratic process possible."
9809,"There is one site for voting information in Washington.

http://VoteWA.gov"
9810,"Your ballot must be postmarked or returned to a ballot drop box/county election office before 8:00 PM on Election Day.

If you plan to mail you ballot, we suggest getting it in the mail by this Friday to ensure it’s postmarked in time.

More info: http://VoteWA.gov"
9811,"Nearly 50% of voters in WA have already submitted their ballots - more than double the rate of 2016 at the same time.

That’s great news – but it also means 50% of ballots are still out there.

Don’t hesitate. #Vote today."
9812,"To ensure confidence in COVID-19 vaccines, The Western State Pact partners will conduct our own independent safety and efficacy reviews.
 
That, combined with 2 independent federal reviews, should give the public confidence in any vaccines when available."
9813,"WATCH: I'm holding a media availability today at 10:30 AM.

Tune in live: https://tvw.org/watch/?clientID=9375922947&eventID=2020101156…"
9814,"With this sham process, Mitch McConnell and Senate Republicans have put at risk: 
 Health care for 750,000 Washingtonians
 Women’s reproductive health care
 Marriage equality
 Voting rights

Americans will not forget what is being done today."
9815,"You can still register in person through Election Day.
 
Visit your county elections department to register: https://sos.wa.gov/elections/auditors/…"
9816," Today is the LAST DAY to register to vote online or by mail.
 
Register today and vote by Nov. 3: http://VoteWA.gov"
